问题,选项A,选项B,选项C,选项D,答案,题号
QRP操作时如果对方反映信号不好，我们可能会追问是否需要增加功率。此时可发送：,QRO？,QSO？,QRP？,QRS？,A,MC1 -0343
已知某卫星下行信号的发射天线是指向地面的偶极天线。由于卫星不断旋转，地面台站 所收电波的极化方向就会不断变化。为了不至极化问题致使接收中断，接收天线可以是：,指向卫星的右旋或左旋圆极化天线,垂直极化天线,水平极化天线,极化方向平行于卫星与地面电台之间连线的天线,A,MC1 -0705
2430MHz 可以表示为：,2.43GHz,243GHz,0.00243nHz,24.3kHz,A,MC1 -0960
若一部业余无线电台的工作电压为直流 13.8伏， FM方式的射频输出功率为 N瓦，电源 效率约为 80%，则发射时的工作电流约为：,0.091×Ｎ（安）,13.8×Ｎ（安）,13.8/Ｎ× 80%（安）,0.058×Ｎ（安）,A,MC1 -0848
单边带业余电台测试检查天线驻波比需要发射平稳的连续信号。文明的作法是：,将电台设为 CW方式并按下电键。或者，将电台设为 AM或FM方式并按下 PTT键（不对 话筒说话）以产生连续载波。测试结束后设回 SSB方式,将电台设为 SSB方式，用平稳的气流对话筒吹口哨,将电台设为 SSB方式，深呼吸后用平稳的气流对话筒发长音“啊”,将电台设为 SSB方式，深呼吸后用平稳的气流对话筒发长音“嘻”,A,MC1 -0620
阻抗的单位是：,欧（姆）,安（培）,伏（特）,瓦（特）,A,MC1 -0945
业余无线电通信缩语“ GN”的意思是：,晚安,早晨好,好运气,高兴,A,MC1 -0394
进行 FM话音通联时，我们能否单凭接收机中传出的对方的声音大小来准确判断对方的 信号有多强？,不能。鉴频器所解调的声音，其大小仅取决于中频信号的频偏，与中频信号的幅度无关。 况且，中频信号在进入鉴频器之前早已被限幅电路切齐，已无法鉴别强弱,不能。信号越强，自动增益控制的起控程度就越深。增益的急剧下降反而会压低音量,能。最终的信号就是经过放大处理的原始射频信号，当然是信号越强声音越大,能。调频信号的特点是信号越强频偏越大，解调之后的声音当然也越大,A,MC1 -0828
物理量“功率”描述的是：,电流在单位时间内所做的功,电子通过电路所获得的能量大小,负载总共消耗的能量,电源所能供应的电子数量最大值,A,MC1 -0937
在业余无线电通联中探讨天线时，缩写 LW代表：,长线天线,偶极天线,定向天线,垂直天线,A,MC1 -0422
业余无线电活动是否有序开展，会影响整个社会的无线电通信的安全和有效，使用不当 甚至会导致生命财产损失。业余无线电爱好者在这方的责任是：,业余无线电台设置、使用人应当加强自律,个人没有责任，只能依靠管理部门的监督检查和违法查处,个人没有责任，只能依靠业余无线电民间组织充当“协管”,有了电台执照，日常一切言行当然可以带到电台通信中，无责任可言,A,MC1 -0128
通联时，如需了解对方电台的位置，可使用短句：,QTH？,QRA？,QSP？,QSA？,A,MC1 -0373
在法定计量单位中， 词头μ的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾(-6)，微,10＾6，兆,10＾(-3)，毫,10＾3，千,A,MC1 -0951
有一类业余无线电操作员享有称呼“ YL” 。而有些业余无线电竞赛也为这些人士制定了专 享的规则。缩语“ YL”的含义是：,女士,好运,你的,领导,A,MC1 -0417
某些对讲机具有发送 CTCSS码的功能。缩写 CTCSS指的是：,亚音调静噪，即从 67-250.3Hz的38个亚音调频率中选取一个作为选通信号，代表 38种 状态之一，接收机没有收到特定的选通信号时自动关闭音频输出,双音多频编码，由 8个音调频率中的两个频率组合成的控制信号，代表 16种状态之一， 用于遥控和传输数字等简单字符,数字设备识别码，即在松开 PTT按键时自动发送一串代表设备代号的二进制数据,自动静噪，即在接收机没有收到信号时自动关闭音频输出,A,MC1 -0580
有时，我们通联的 DX电台仍使用“ GMT”来表示时间。该时间的含义是：,格林尼治时间,GPS管理区段时间,国际原子时,罗兰 C时间,A,MC1 -0393
在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业 余业务和卫星业余业务作为次要业务时，业余无线电台应该遵循的规则是：,不得对主要业务电台产生有害干扰,可要求保护不受来自主要业务电台的有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求,容许因设备技术问题对主要业务电台产生短时间有害干扰,A,MC1 -0176
通联时，如需对方电台确认收妥自己发出的消息，可使用短句：,QSL？,QRZ？,QSP？,QRO？,A,MC1 -0364
下列哪一项可以解调 AM信号？,检波器,限幅器,鉴频器,反相器,A,MC1 -0834
亚音频静噪系统（ CTCSS）所用的声调大体位于音频中的什么范围？,67 -250.3Hz,16Hz -20kHz,16kHz -20kHz,220Hz -2503Hz,A,MC1 -0824
甲天线增益 6.15dBi， 乙天线增益 1dBd。 若两副天线按同样条件架设并用同样功率来驱动， 则在它们最大发射方向的同一远方地点接收时，两天线给出的信号功率关系为：,甲天线的信号功率为乙天线的两倍,甲天线的信号功率为乙天线的 1/2,甲天线的信号功率为乙天线的 5.15倍,甲天线的信号功率为乙天线的 6.15倍,A,MC1 -0666
收发信机面板上或设置菜单中的符号 VOL代表什么功能？,音量控制，用来调整接收机放出的声音大小,发信语音压缩，对音频输入电平进行检测并反馈控制，以提升语音包络幅度较小的部分,收信机前置放大器，在接收微弱信号时接入（此时某些技术指标可能低于额定值）,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,A,MC1 -0577
为什么用单边带收发信机发送  AFSK 信号时应关闭语音压缩功能？,语音压缩可能导致信号的包络畸变，破坏基带特征，抬升误码率,经语音压缩处理的信号，其相位变化已不存在，本质上无法解码,经语音压缩处理的信号，其幅度变化已不存在，本质上无法解码,语音压缩提升信号的峰均比，易导致发射机功率放大器过热损坏,A,MC1 -0618
"我国《无线电频率划分规定》划分给业余业务使用的 1,800kHz -2,000kHz 属于无线电频谱 的下列频段（波段） ：",MF,HF,VHF,LF,A,MC1 -0218
术语“信噪比（ SNR） ”在业余无线电领域广为使用。它是指：,有用信号功率对噪声功率的比值,有用信号峰值电压对噪声峰值电压的比值,有用信号功率对有用信号功率及噪声功率之和的比值,有用信号峰值电压对有用信号峰值电压及噪声峰值电压之和的比值,A,MC1 -0878
无线电通信及相关测试设备、电视设备和音频设备常用的传输接口标称阻抗分别为：,50欧、 75欧和 600欧,50欧、 600欧和 75欧,50欧、 50欧和 75欧,75欧、 50欧和 16欧,A,MC1 -0958
业余电台发起呼叫时会使用缩语：,CQ,CU AGN,TU,"Seek QSOs with you, Roger?",A,MC1 -0382
业余无线电爱好者在结束当前联络并祝愿对方好运好成绩时经常使用缩语：,GL,GB,TU,73,A,MC1 -0390
收发信机面板上的符号 ATT代表什么功能？,收信机输入衰减器，在接收大信号时接入，使信号不致过大而使前级电路过载,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,发信自动电平控制，对射频输出电平进行检测并反馈控制，以维持其在适当限度之内,发信自动音量控制，对音频输入电平进行检测并反馈控制，以维持其在适当限度之内,A,MC1 -0602
既然收发信机已经具备 PTT功能，那为什么有些机型还要提供 VOX？,双手忙于其他工作时， VOX的“免提”特点有助于通联,VOX用于连接蓝牙耳机，提供操作的便捷性,VOX对话音提供更多加工处理，可有效降低发射带宽,VOX对话音提供更多加工处理，可使声音更易于辩识,A,MC1 -0579
甲乙两种型号的业余无线电收发信机在技术规格中给出的接收机灵敏度指标分别为 0.1 μV和0.15μV。关于该指标，正确的推论是：,无法比较二者接收微弱信号的能力，测量灵敏度时所用的输出信号质量标准未知,可以推断甲机接收微弱信号的能力比乙机的差，因为灵敏度指标的数值较小,可以推断甲机接收微弱信号的能力比乙机的高，因为可以接收的信号更微弱,可以推断甲机承受强信号的能力比乙机的低，因为其灵敏度数值比较小,A,MC1 -0868
什么是“鉴频”？,对调频信号进行解调的过程称为鉴频,判断信号的频率是否超过允许的频率范围的过程称为鉴频,判断信号的频率是否发生了不应有的偏离或者漂移的过程称为鉴频,对调幅信号进行解调的过程称为鉴频,A,MC1 -0833
我国《无线电频率划分规定》划分给业余业务使用的最低频段为 135.7 -137.8kHz，属于无 线电频谱的下列频段（波段） ：,低频（长波）,甚低频（甚长波）,特低频（特长波）,超低频（超长波）,A,MC1 -0215
甲、乙业余电台相距 10千米，分别使用 1/2波长水平和垂直偶极天线进行 UHF通联。现 双方都改用 1/2波长垂直偶极天线，则改变前后的通信效果有什么不同？,通信效果变好,通信效果不变,通信效果变差,通信效果的变化不确定,A,MC1 -0692
垂直接地天线（ GP）由电气长度为 1/4波长的垂直振子加上一个“镜像地平面”构成， 因十分简洁而被大量应用于手持和车载业余通信。但是，这种天线的工作有效性往往不如理 论预计的那么完美，特别是在波长较长的波段。造成这种情况的原因及改善方法是：,缺乏有效接地镜像； GP天线必须有足够大的导电平面以形成振子镜像，否则谐振频率和 阻抗都与理论值有出入。为此，应尽量用大面积金属导体与天线 /馈线的接地端相连,1/4波长垂直振子显然是太短了。改成 1/2波长即可解决问题,1/4波长垂直振子显然是太短了。在振子当中串联加感线圈即可解决问题,天线与电缆直接相连，匹配不佳。在天线和电缆之间加接“巴伦”即可解决问题,A,MC1 -0663
俗称的 20米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,14 -14.25MHz 为专用， 14.25 -14.35为主要业务,14 -14.15MHz 为专用， 14.15 -14.25为主要业务,14 -14.35MHz 为专用， 14.35 -14.45为主要业务,14 -14.35MHz ，专用,A,MC1 -0189
国家对于利用业余无线电台从事发布、传播违反法律或者公共道德的信息的行为的态度 是：,禁止,不提倡,容忍,不可以发布传播违法信息。但违反公共道德的信息属于道德问题，不鼓励就是了,A,MC1 -0124
短波业余电台在 14MHz频段进行 USB通话时可以实际占用的频率为：,14.100 -14.350MHz,14.030 -14.350MHz,14.000 -14.250MHz,14.070 -14.250MHz,A,MC1 -0199
"我国《无线电频率划分规定》划分给业余业务使用的最接近无线宽带 WiFi频率的频段为 2,300 -2,450MHz ，属于无线电频谱的下列频段（波段） ：",特高频（分米波）,甚高频（米波）,高频（短波）,超高频（厘米波）,A,MC1 -0223
正弦交流电压或电流的峰值（ peak value ）是指： （ “ x＾m”表示“ x的m次方” ）,从零点算起的最大值,一个周期内瞬时值的平均值乘以 2＾(1/2),负半周最大幅度与正半周最大幅度的平均值,负半周最大幅度与正半周最大幅度的差值的二次方,A,MC1 -0932
物理量“电压”描述的是：,加在电路两端的电源驱动电子流动的力量大小,电子器件或装置将其它形式的能量转化为电能的能力,单位时间内流过电路的电子数量,电源所能供应的电子数量最大值,A,MC1 -0931
关于业余频率的使用，正确的叙述是：,业余无线电台在无线电管理机构核准其使用的频段内，享有平等的频率使用权,任何业余无线电台在任何频段都享有平等的频率使用权,业余无线电台在无线电管理机构核准其使用的频段内，不同类别的业余电台享有不同优 先程度的频率使用权,依法成立的地方业余无线电民间组织的业余电台，在其常用的台网频率上享有比其他个 人设置的业余电台优先的使用权,A,MC1 -0175
收发信机中的 PTT是指什么信号？,按键发射，有信号（一般为对地接通）时发射机由等待转为发射,发信语音压缩，对音频输入电平进行检测并反馈控制，以提升语音包络幅度较小的部分,收信机前置放大器，在接收微弱信号时接入（此时某些技术指标可能低于额定值）,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,A,MC1 -0572
双工操作（ duplex operation ）是指：一条电信通路的两个方向能同时进行传输的工作方 式。下列通信采用双工操作方式：,由一台连续工作的 430MHz接收机和一台 144MHz发信机组成的地面业余电台与业余卫星 之间的通信,两台具有 QSK功能的业余 CW收发信之间的通信,一台业余中继台与一台由 PTT键转换收发状态的业余对讲机之间的通信,两台由 PTT键转换收发状态的业余对讲机之间的通信,A,MC1 -0570
业余无线电业务中， “ SAE”的含义为：,写好收信人地址的信封,信封,请尽快寄出 QSL卡片,请勿通过卡片管理局交换 QSL卡片,A,MC1 -0408
接收机抗拒工作频率附近干扰信号的能力可以用选择性指标来表示，分别为：,信道带宽、信道选择性和信道滤波器的矩形系数,带内波动和信道带宽,镜像抑制比,前端带宽,A,MC1 -0860
已知某接收机的天线输入阻抗为 50Ω，灵敏度指标为 2μV，则功率电平相应为：,-107dBm,0.02dBm,-103dBm,-113dBm,A,MC1 -0875
分配给业余业务的某频段的频率下限为 F1，业余电台实际可以工作的发信频率应为：,F1+信号下边带的频率宽度,F1,F1 -信号下边带的频率宽度,F1 -2×信号下边带的频率宽度,A,MC1 -0207
我们之所以称垂直接地天线为“全向天线” ，是因为：,这种天线在水平方向上没有指向性,这种天线在垂直方向上没有指向性,这种天线的 E面和 H面方向图均为正圆,这种天线辐射各向同性的球面波,A,MC1 -0657
在CW通联中，我们有时会抄到缩语“ HPE” ，意思是：,希望去做某件事,醉心于某件事,是“抄收”的意思,是“这里”的意思,A,MC1 -0397
收发信机面板上的符号 AGC代表什么功能？,收信机自动增益控制，对中频级信号电平进行检测并反馈控制，防止电路过载,收信自动音量控制，对音频输出电平进行检测并反馈控制，以维持其在适当限度之内,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,发信自动电平控制，对射频输出电平进行检测并反馈控制，以维持其在适当限度之内,A,MC1 -0603
发射天线的作用是：,把发射机输出的射频信号转化为无线电波,利用天线的增益放大发射机的输出功率,将发射机输出的射频信号转化为音频信号,将发射机输出的射频信号转化为红外线,A,MC1 -0649
将无线电频率或频道批准给无线电台在规定条件下使用，这个过程称为：,指配,划分,分配,授权,A,MC1 -0008
物理量“电动势”描述的是：,电子器件或装置将某种形式的能量转化为电能的能力,加在电路两端的电源驱动电子流动的力量大小,单位时间内流过电路的电子数量,电源所能供应的电子数量最大值,A,MC1 -0930
在7MHz及以下频段进行语音通信通常选用哪个边带？,下边带,上边带,抑制边带,残留边带,A,MC1 -0440
业余无线电台可用于下列用途：,相互通信、技术研究和自我训练,救灾抢险、车队联络和广播通信,娱乐休闲、报告路况和公益服务,技术教学、民兵训练和公益服务,A,MC1 -0129
以dBd为单位的天线增益是指：,待测天线最大辐射方向上的辐射功率密度与半波长偶极天线对应值之比的 dB值,待测天线最大辐射方向上的辐射功率密度与理想点源天线对应值之比的 dB值,待测天线最大辐射方向上的辐射功率密度与 1/4波长垂直天线对应值之比的 dB值,待测天线最大辐射方向及其（ 180°）反方向的辐射功率密度测量值之比的 dB值,A,MC1 -0654
收发信机面板上的符号 ALC代表什么功能？,发信自动电平控制，对射频输出电平进行检测并反馈控制，以维持其在适当限度之内,发信自动音量控制，对音频输入电平进行检测并反馈控制，以维持其在适当限度之内,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,自动频率控制，对发射频率的漂移进行检测并反馈控制，以维持准确的工作频率,A,MC1 -0610
根据说明书给出的技术指标，两台业余无线电接收机在 USB方式下选择带宽为 2.7kHz的 滤波器时具有不同的“通带矩形系数” 。接收机 A的“ 60dB带宽对 6dB带宽的矩形系数”为 3.8，接收机 B的为 5。由此可得出结论：,A机对邻近频道干扰的抑制能力比 B机强,A机对邻近频道干扰的抑制能力比 B机差,A机对镜像频率干扰的抑制能力比 B机强,A机对偏离工作频率± 10kHz以外的干扰信号的抑制能力比 B机强,A,MC1 -0826
什么是收发信机？,一种组合了接收机和发射机的无线电通信设备,一种将收到的信号再行转发的设备,一种将收到的信息解码，纠错并转发的设备,一种将数字话音转换为模拟话音并转发的设备,A,MC1 -0565
某俱乐部约定了一个成员业余电台之间交流技术的网络频率，当遇有其他业余电台按通 信惯例要求参加通信时，处理原则应为：,无条件欢迎加入，因为任何业余电台都对业余无线电频率享有平等使用权,要求其他业余电台在任何时间都不得使用俱乐部自行约定的专用通信频率,要求其他业余电台在俱乐部成员结束网络通信后再使用该频率,由俱乐部网络控制台自行决定其他业余电台是否可以加入通联,A,MC1 -0211
半双工操作（ semi -duplex operation ）是指：电路的一端用单工操作，另一端用双工操作 的一种工作方式。下列通信采用半双工操作方式：,一台业余中继台与一台由 PTT键转换收发状态的业余对讲机之间的通信,两台具有 QSK功能的业余 CW收发信之间的通信,两台由 PTT键转换收发状态的业余对讲机之间的通信,两台公众移动电话终端（手机）之间的通信,A,MC1 -0571
在业余无线电通联中探讨天线时，缩写 GP代表：,垂直接地天线,对数周期天线,偶极天线,定向天线,A,MC1 -0420
超外差式收信机所收信号的频率要比本振频率低（或高）一个中频。然而，比本振频率 高（或低）一个中频的另一个遥相对应的信号也可能经混频窜入中频通道，形成“镜像频率 干扰” 或 “镜频干扰” 。 如果某对讲机的技术规格书给出的 VHF接收机第一中频为 45.05MHz ， 那么在 145.00MHz 收到的镜频干扰可能来自：,235.10MHz 或54.90MHz,190.05MHz 或99.95MHz,45.05MHz 或90.10MHz,90.10MHz 或180.20MHz,A,MC1 -0842
没有信号时， 调频接收机会输出一种强烈的沙沙声。 关于这种噪声， 以下描述正确的是：,天线收到的 QRN与机内电路的固有噪声共同构成一种随机信号。该信号的随机相位变化 经鉴频形成强烈的沙沙声。只是，该信号的随机幅度变化与沙沙声没有关系,由天线收到的 QRN的随机幅度变化经放大形成，其大小与 QRN的电压成正比,由天线收到的 QRN的随机幅度变化经放大形成，其大小与 QRN的电压的平方成正比,由天线收到的 QRN的随机幅度变化经放大形成，其大小与 QRN的电压的平方根成正比,A,MC1 -0831
我国《无线电频率划分规定》划分给业余业务使用的 28MHz -29.7MHz 属于无线电频谱的 下列频段（波段） ：,HF,MF,VHF,LF,A,MC1 -0220
在法定计量单位中， 词头 k的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾3，千,10＾(-3)，毫,10＾6，兆,10＾(-6)，微,A,MC1 -0948
接收机接收 SSB话音信号时的频响均匀程度可以用选择性指标来表示，分别为：,带内波动和信道带宽,信道带宽、信道选择性和信道滤波器的矩形系数,镜像抑制比,前端带宽,A,MC1 -0861
接收机抗拒相距工作频率两倍于中频的强干扰信号的能力可以用选择性指标来表示，分 别为：,镜像抑制比,前端带宽,带内波动和信道带宽,信道带宽、信道选择性和信道滤波器的矩形系数,A,MC1 -0863
将某个特定的频段列入频率划分表，规定该频段可在指定的条件下供一种或多种地面或 空间无线电通信业务或射电天文业务使用，这个过程称为：,划分,分配,指配,授权,A,MC1 -0006
什么是“理想点源天线”？对业余无线电又有什么意义？,存在于理论中的一种小到一个点，可将发射机输出的全部射频能量都转化为各向同性且 均匀辐射的电磁波的假想天线；用作比较实际天线辐射性能的一种全向基准天线,一种用于专业通信的增益极高的专用天线，在业余无线电中没有应用价值,仅用于无线电测试的一种标准接收天线，发射效果不佳，对业余无线电无用,一种带宽近乎无限的高级天线的专利名称，业余无线电业务不需要宽带天线,A,MC1 -0653
应选择较长的 AGC时间常数的情况是：,接收 SSB和AM等正常信号的包络幅度不断变化的信号,接收 FM/FSK/PSK 等包络幅度恒定的信号遇到变化很快的传播衰落时,将接收机应用于“比幅度法规”测向时,有用微弱信号和强干扰同时出现时,A,MC1 -0608
业余电台进行单边带话音通信时，如果对方反映虽然己方的讲话基本可辨，但是在话音 的间隙中夹杂嘈杂的背景噪声。这时应当：,调低发射机的话筒增益。如果发射机带有语音压缩处理功能，则应尝试调低控制深度,调低发射机的射频输出功率,调整发射机的天线匹配电路,调整发射机的 ALC控制深度,A,MC1 -0612
国际电联规定的确定发射电台辐射功率的原则为：,发射电台只应辐射为保证满意服务所必要的功率,发射电台应辐射尽量大的功率以提供尽量好的信号质量,HF频段发射电台应辐射尽量大的功率， VHF频段发射电台应辐射尽量小的功率,VHF/UHF 频段发射电台应辐射尽量大的功率， HF频段发射电台应辐射尽量小的功率,A,MC1 -0210
在CW通联中，我们有时会抄到缩语“ ES” ，意思是：,和,是,从,请等待,A,MC1 -0384
